,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Diversity_scaled,~,HighFreq_scaled,-2.291294577032828,0.5907238094995302,-3.8787916454056037,0.00010497661815800363
1,Diversity_scaled,~,HighFreq_sq,12.011481617508869,2.274522911659146,5.280879588388862,1.2856516717896227e-07
2,Diversity_scaled,~,GQ,-1.71835683183004,0.05257507634977241,-32.68386754905387,0.0
3,SQ,~,Diversity_scaled,0.7208618180252517,0.022611349763412135,31.880530155692508,0.0
4,SQ,~,HighFreq_scaled,-0.29586699618638235,0.029482263454287352,-10.035423387186425,0.0
5,Perplexity_scaled,~,GQ,1.0,-,-,-
6,Entropy_scaled,~,GQ,-0.9925194602712448,0.04102663824493891,-24.19207380145243,0.0
7,Rouge_1_scaled,~,SQ,1.0,-,-,-
8,Rouge_2_scaled,~,SQ,0.9747864892955812,0.04929383898780329,19.77501670172202,0.0
9,Rouge_L_scaled,~,SQ,0.9888205814120847,0.04478806535618721,22.077769457693428,0.0
10,METEOR_scaled,~,SQ,0.9932517897615173,0.0432546097037173,22.962911850137314,0.0
11,Diversity_scaled,~~,Diversity_scaled,0.028075291747546808,0.019542255126248395,1.4366454416205285,0.1508187646762249
12,GQ,~~,GQ,0.9776645725094107,0.23570092072978716,4.147903069186902,3.355343947064604e-05
13,SQ,~~,SQ,0.007524345711854505,0.006166275817994019,1.2202415092554268,0.22237333552889615
14,Entropy_scaled,~~,Entropy_scaled,0.0367742079256238,0.010618963523990223,3.46306942660467,0.0005340505780084825
15,METEOR_scaled,~~,METEOR_scaled,0.061630139512644296,0.016191530682667547,3.8063195331378297,0.0001410501283782839
16,Perplexity_scaled,~~,Perplexity_scaled,0.022227757556608854,0.008138069928126119,2.7313303707376364,0.006307920377432996
17,Rouge_1_scaled,~~,Rouge_1_scaled,0.04885015754953456,0.013372577165644665,3.6530099576753186,0.0002591841761376834
18,Rouge_2_scaled,~~,Rouge_2_scaled,0.09624229649758036,0.024096510784293975,3.994034545296771,6.495839303477524e-05
19,Rouge_L_scaled,~~,Rouge_L_scaled,0.06999136362021294,0.018078111276199002,3.8716081866632535,0.00010811964989576595
