,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Diversity_scaled,~,HighFreq_scaled,0.6447095352953985,0.05538317050138918,11.640892521087906,0.0
1,Diversity_scaled,~,GQ,-1.5658357254110635,0.07282024828605183,-21.502751806594496,0.0
2,SQ,~,Diversity_scaled,0.9551382868420331,0.029200708129252743,32.709422065435575,0.0
3,Perplexity_scaled,~,GQ,1.0,-,-,-
4,Entropy_scaled,~,GQ,-1.0115071601330405,0.042335982160602095,-23.89237496066544,0.0
5,Rouge_1_scaled,~,SQ,1.0,-,-,-
6,Rouge_2_scaled,~,SQ,0.9744235247388457,0.03858316989454773,25.255144338238743,0.0
7,Rouge_L_scaled,~,SQ,0.9869179698170142,0.035417359486827046,27.865374045070133,0.0
8,METEOR_scaled,~,SQ,0.992037755660318,0.03402181906269709,29.158868719011846,0.0
9,Diversity_scaled,~~,Diversity_scaled,0.08031786494762158,0.028283783107435564,2.8397143564457257,0.004515394653067606
10,GQ,~~,GQ,0.9594695314524008,0.23567462581629858,4.071161789798312,4.677924387874732e-05
11,SQ,~~,SQ,0.040284997108458946,0.01370458751580294,2.939526422014983,0.003287142425718592
12,Entropy_scaled,~~,Entropy_scaled,0.018350489312466203,0.009777741088082374,1.8767616308592978,0.060550771414283
13,METEOR_scaled,~~,METEOR_scaled,0.062476470251115905,0.018217879508384622,3.4294040763049427,0.000604908212919586
14,Perplexity_scaled,~~,Perplexity_scaled,0.04057529975424675,0.012842144254445262,3.159542436773533,0.001580170863454411
15,Rouge_1_scaled,~~,Rouge_1_scaled,0.04737856055857128,0.015066627609422584,3.144602878868287,0.0016631242289963932
16,Rouge_2_scaled,~~,Rouge_2_scaled,0.0954859903272119,0.025564093935187077,3.735160360682581,0.00018759560818226717
17,Rouge_L_scaled,~~,Rouge_L_scaled,0.07214002178242909,0.020329103657573948,3.548608093795789,0.00038727300774765716
