,lval,op,rval,Estimate,Std. Err,z-value,p-value
0,Diversity_scaled,~,HighFreq_scaled,0.6447099048727526,0.0553842685218308,11.640668407618074,0.0
1,Diversity_scaled,~,GQ,-1.5657485874221195,0.07281218590569702,-21.503936022858877,0.0
2,SQ,~,Diversity_scaled,0.7208869539333286,0.025204306213325624,28.601737647656055,0.0
3,SQ,~,HighFreq_scaled,-0.2958469473957711,0.029057479111718482,-10.181438873211773,0.0
4,Perplexity_scaled,~,GQ,1.0,-,-,-
5,Entropy_scaled,~,GQ,-1.0114997399738879,0.0423335184210781,-23.893590178093085,0.0
6,Rouge_1_scaled,~,SQ,1.0,-,-,-
7,Rouge_2_scaled,~,SQ,0.9747709164889065,0.055334408448476397,17.615999588735647,0.0
8,Rouge_L_scaled,~,SQ,0.9888160109320857,0.050282091049390513,19.665371711393973,0.0
9,METEOR_scaled,~,SQ,0.9932551577417477,0.04856014596120764,20.45412216253957,0.0
10,Diversity_scaled,~~,Diversity_scaled,0.08032045045515705,0.028282813084590297,2.839903167060819,0.004512723003139207
11,GQ,~~,GQ,0.9594703736289731,0.2356718364568353,4.071213548678035,4.676884939347481e-05
12,SQ,~~,SQ,0.007516223569207889,0.006167705612973079,1.2186417510232186,0.22298019517972056
13,Entropy_scaled,~~,Entropy_scaled,0.018357450087025624,0.009778532758982822,1.8773215305010515,0.06047403904153681
14,METEOR_scaled,~~,METEOR_scaled,0.06163700438175543,0.016193306965227066,3.806325941347634,0.00014104647556556493
15,Perplexity_scaled,~~,Perplexity_scaled,0.0405620575840732,0.012839951829974133,3.1590506037744115,0.0015828400418620436
16,Rouge_1_scaled,~~,Rouge_1_scaled,0.04885371665322274,0.013373600120501525,3.6529966657727218,0.0002591975982342287
17,Rouge_2_scaled,~~,Rouge_2_scaled,0.09623220735066694,0.024094269559679825,3.9939873299878417,6.497133688032619e-05
18,Rouge_L_scaled,~~,Rouge_L_scaled,0.0700035485222106,0.018081074373212578,3.8716476174695913,0.00010810215760903574
